T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;Sy.min;Sy.average;Su.min;Su.average;Sm;S;T_fluage;D_irneg;D_irmax
20;11.3;11.3;212000;0.3;7850;49.5;460;290;362.5;460;481;153;115;;;
50;11.5;11.8;210000;0.3;7842;49;475;280;350;450;473;153;115;;;
75;11.7;12.15;208000;0.3;7835;48.55;486;272;340;447;472;153;115;;;
100;11.9;12.5;206000;0.3;7828;48.1;497;264;330;444;471;153;115;;;
125;12.075;12.8;204000;0.3;7820.5;47.6;506.5;254;317.5;441.5;470;153;115;;;
150;12.25;13.1;202000;0.3;7813;47.1;516;244;305;439;469;153;115;;;
175;12.425;13.4;200500;0.3;7805;46.6;524;234.5;293.125;436.5;468;151.5;115;;;
200;12.6;13.7;199000;0.3;7797;46.1;532;225;281.25;434;467;150;115;;;
225;12.75;13.95;197000;0.3;7789;45.5;540.5;215.5;269.375;431;466;143.5;115;;;
250;12.9;14.2;195000;0.3;7781;44.9;549;206;257.5;428;465;137;115;;;
275;13.05;14.45;193000;0.3;7772.5;44.35;558;197.5;246.875;425.5;464;131.5;115;;;
300;13.2;14.7;191000;0.3;7764;43.8;567;189;236.25;423;463;126;115;;;
325;13.3;14.9;189000;0.3;7755.5;43.15;577;182;227.5;420.5;462;121.5;115;;;
350;13.4;15.1;187000;0.3;7747;42.5;587;175;218.75;418;461;117;115;;;
375;13.55;15.25;185000;0.3;7738;41.85;599;;;;;;;;;
400;13.7;15.4;183000;0.3;7729;41.2;611;;;;;;;;;
425;;;;0.3;7720;40.5;626;;;;;;;;;
450;;;;0.3;7711;39.8;641;;;;;;;;;
475;;;;0.3;7702.5;39.05;659.5;;;;;;;;;
500;;;;0.3;7694;38.3;678;;;;;;;;;
525;;;;0.3;7684.5;37.55;700.5;;;;;;;;;
550;;;;0.3;7675;36.8;723;;;;;;;;;
575;;;;0.3;7665.5;36;750.5;;;;;;;;;
600;;;;0.3;7656;35.2;778;;;;;;;;;
625;;;;0.3;;;;;;;;;;;;
650;;;;0.3;;;;;;;;;;;;
675;;;;0.3;;;;;;;;;;;;
700;;;;0.3;;;;;;;;;;;;
750;;;;0.3;;;;;;;;;;;;
800;;;;0.3;;;;;;;;;;;;
850;;;;0.3;;;;;;;;;;;;
900;;;;0.3;;;;;;;;;;;;
950;;;;0.3;;;;;;;;;;;;
1000;;;;0.3;;;;;;;;;;;;
