T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;Sy.min;Sy.average;Su.min;Su.average;Sm;S;T_fluage;D_irneg;D_irmax
20;15.3;15.3;200000;0.3;7930;14.28;472;340;;650;;217;163;10000000;2.75;53
50;15.5;15.7;197000;0.3;7919;14.73;485;339.0909091;;612.5;;204.25;159.25;10000000;2.75;53
75;15.7;16.1;195000;0.3;7909;15.11;493;338.3333333;;581.25;;193.625;156.125;10000000;2.75;53
100;15.9;16.5;193000;0.3;7899;15.48;501;337.5757576;;550;;183;153;10000000;2.75;53
125;16.1;16.8;191000;0.3;7889;15.86;507;336.8181818;;541.5;;180.5;150.5;10000000;2.75;53
150;16.2;17.1;189000;0.3;7879;16.23;512;336.0606061;;533;;178;148;10000000;2.75;53
175;16.4;17.5;187000;0.3;7869;16.61;517;335.3030303;;525.5;;175.5;146;10000000;2.75;53
200;16.6;17.8;185000;0.3;7858;16.98;522;334.5454545;;518;;173;144;10000000;2.75;53
225;16.7;18.1;183000;0.3;7848;17.36;526;333.7878788;;509;;170;141.5;10000000;2.75;53
250;16.9;18.3;180000;0.3;7837;17.74;530;333.030303;;500;;167;139;10000000;2.75;53
275;17.1;18.6;178000;0.3;7826;18.11;534;332.2727273;;495;;165;137.5;10000000;2.75;53
300;17.2;18.9;176000;0.3;7815;18.49;538;331.5151515;;490;;163;136;10000000;2.75;53
325;17.4;19.1;174000;0.3;7804;18.86;542;330.7575758;;485;;161.5;134.5;10000000;2.75;53
350;17.5;19.3;172000;0.3;7793;19.24;546;330;;480;;160;133;10000000;2.75;53
375;17.6;19.6;170000;0.3;7782;19.61;551;;;459.5;;153;127.5;10000000;2.6;40
400;17.8;19.8;168000;0.3;7770;19.99;556;;;439;;146;122;10000000;2;30
425;17.9;20;166000;0.3;7759;20.36;561;;;419;;140;116;10000000;2;24
450;18;20.1;164000;0.3;7747;20.74;567;;;;;;;650000;2;24
475;18.1;20.3;161000;0.3;7736;21.11;573;;;;;;;60000;2;24
500;18.3;20.5;159000;0.3;7724;21.49;578;;;;;;;6860;2;24
525;18.4;20.6;157000;0.3;7713;21.87;584;;;;;;;807;2;24
550;18.5;20.7;155000;0.3;7701;22.24;590;;;;;;;109;2;24
575;18.6;20.9;153000;0.3;7689;22.62;596;;;;;;;30;;
600;18.7;21;151000;0.3;7677;22.99;601;;;;;;;10.5;;
625;18.8;21.1;149000;0.3;7666;23.37;606;;;;;;;3.5;;
650;18.9;21.1;147000;0.3;7654;23.74;610;;;;;;;1.3;;
675;19;21.2;144000;0.3;7642;24.12;613;;;;;;;;;
700;19;21.3;142000;0.3;7630;24.49;615;;;;;;;;;
750;19.2;21.3;;0.3;7606;25.25;615;;;;;;;;;
800;19.3;21.4;;0.3;7582;26;607;;;;;;;;;
850;19.5;21.3;;0.3;;;;;;;;;;;;
900;19.6;21.3;;0.3;;;;;;;;;;;;
950;19.7;;;0.3;;;;;;;;;;;;
1000;19.7;;;0.3;;;;;;;;;;;;
