T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;Sy.min;Sy.average;Su.min;Su.average;Sm;SmB_non_etanche;SmB_etanche
20;14.7;14.7;201000;0.31;7920;14.1;497;585;686;896;986;299;299;195
50;15.0;15.2;199433;0.31;7909;14.6;506;583;682;878;966;299;299;193
100;15.4;16;196000;0.31;7891;15.4;519;573;671;853;939;299;299;191
150;15.7;16.5;192318;0.31;7871;16;529;565;661;833;916;299;299;188
200;16;16.9;189000;0.31;7852;16.8;536;558;652;817;899;299;299;186
250;16.3;17.3;185081;0.31;7831;17.5;545;549;642;803;883;295;295;183
300;16.5;17.6;181000;0.31;7810;18.3;554;540;632;789;868;292;292;180
350;16.6;17.8;177551;0.31;7789;18.9;562;531;621;755;830;286;286;177
400;16.8;18.1;174000;0.31;7768;19.7;570;552;611;760;836;281;281;174
450;17;18.4;169556;0.31;7746;20.4;580;515;603;742;816;274;274;170
500;17.2;18.8;165000;0.31;7724;21.2;588;501;586;721;793;267;267;167
550;17.3;19.2;160923;0.31;7701;21.8;593;;;;;;;
600;17.5;19.6;156000;0.31;7679;22.6;599;;;;;;;
650;17.7;20;;;7655;23.1;603;;;;;;;
700;17.9;20.5;;;7631;23.9;610;;;;;;;
750;18.1;20.9;;;7606;24.5;622;;;;;;;
800;18.3;21.4;;;7581;25.2;;;;;;;;
